id,world_group,name,type,type_label,tribe
1029,L1,稗田阿求,2,支援,"1,40,52,79,25,57,60,159,181"
1030,L1,チルノ,8,破坏,"7,46,83,52,84,54,181"
1031,L1,大妖精,2,支援,"7,52,49,84,54,181"
1032,L1,アリス・マーガトロイド,6,技巧,"3,5,36,52,55,25,56,60,34,54,181"
1033,L1,サニーミルク,5,攻击,"7,47,85,52,53,86,54,181"
1034,L1,ルナチャイルド,6,技巧,"7,45,85,25,52,53,86,54,181"
1035,L1,スターサファイア,4,干扰,"7,48,85,52,53,86,54,181"
1036,L1,メディスン・メランコリー,6,技巧,"36,5,50,74,49,52,87,181"
1037,L1,東風谷早苗,3,回复,"1,14,37,38,2,52,69,88,54,124,181"
1038,L1,八坂神奈子,1,防御,"14,15,52,69,88,124,181"
1039,L1,洩矢諏訪子,5,攻击,"14,16,52,69,88,89,124,181"
1040,L1,河城にとり,4,干扰,"5,24,90,39,52,69,91,175,181"
1042,L1,因幡てゐ,4,干扰,"20,6,72,71,52,5,57,175,181"
1043,L1,宇佐見菫子,6,技巧,"1,35,82,81,181"
1044,L1,射命丸文,7,速攻,"94,92,5,69,52,142,181"
1045,L1,姫海棠はたて,7,速攻,"94,92,5,69,52,60,142,181"
1046,L1,犬走椛,1,防御,"111,92,5,69,52,68,67,181"
1047,L1,坂田ネムノ,5,攻击,"109,5,2,69,52,181"
1048,L1,伊吹萃香,6,技巧,"22,5,69,52,78,181"
1049,L1,星熊勇儀,8,破坏,"22,5,99,100,52,78,123,181"
1050,L1,古明地さとり,4,干扰,"5,98,99,100,101,52,42,57,60,25,181"
1051,L1,古明地こいし,8,破坏,"5,98,99,100,101,52,43,181"
1052,L1,火焔猫燐,4,干扰,"5,6,68,19,99,100,101,52,58,137,7,181"
1053,L1,霊烏路空,7,速攻,"5,6,68,99,100,101,52,58,15,14,142,181"
1054,L1,小野塚小町,6,技巧,"115,113,128,129,58,181"
1055,L1,四季映姫・ヤマザナドゥ,5,攻击,"148,113,128,57,181"
1056,L1,ヘカーティア・ラピスラズリ,8,破坏,"14,118,57,113,181"
1057,L1,純狐,8,破坏,"15,14,21,118,159,181"
1058,L1,クラウンピース,8,破坏,"7,113,53,52,54,118,58,181"
1059,L1,秋静葉,2,支援,"96,16,97,42,69,52,124,181"
1060,L1,秋穣子,3,回复,"96,16,97,43,69,52,124,181"
1061,L1,鍵山雛,4,干扰,"14,105,69,52,5,36,181"
1062,L1,ルナサ・プリズムリバー,3,回复,"93,8,52,84,102,42,122,181"
1063,L1,メルラン・プリズムリバー,4,干扰,"93,8,52,84,102,42,43,122,181"
1064,L1,リリカ・プリズムリバー,2,支援,"93,8,52,84,102,42,43,122,181"
1065,L1,依神女苑,5,攻击,"103,14,105,43,77,52,160,181"
1066,L1,依神紫苑,4,干扰,"104,14,105,42,53,52,181"
1067,L1,九十九弁々,7,速攻,"23,16,14,102,42,52,181"
1068,L1,九十九八橋,6,技巧,"23,16,14,102,43,52,181"
1069,L1,摩多羅隠岐奈,8,破坏,"14,62,26,57,52,126,159,181"
1070,L1,爾子田里乃,2,支援,"14,58,52,126,181"
1071,L1,丁礼田舞,2,支援,"14,58,52,126,181"
1072,L1,上白沢慧音,1,防御,"106,107,66,1,5,6,68,108,79,52,45,25,181"
1073,L1,ルーミア,4,干扰,"5,52,112,181"
1074,L1,寅丸星,5,攻击,"5,6,68,135,14,15,124,77,57,58,160,52,181"
1075,L1,村紗水蜜,7,速攻,"5,10,8,52,77,58,181"
1076,L1,多々良小傘,6,技巧,"5,23,16,14,52,79,77,181"
1077,L1,わかさぎ姫,2,支援,"5,90,84,52,141,51,181"
1078,L1,今泉影狼,7,速攻,"143,107,6,68,144,5,71,45,52,141,181"
1079,L1,赤蛮奇,6,技巧,"5,52,79,141,181"
1080,L1,ドレミー・スイート,6,技巧,"5,6,68,133,57,134,175,181"
1081,L1,稀神サグメ,4,干扰,"13,75,45,14,15,119,26,142,162,181"
1082,L1,二ッ岩マミゾウ,1,防御,"5,6,68,110,77,52,181"
1083,L1,高麗野あうん,2,支援,"6,5,68,15,120,121,53,88,77,52,181"
1084,L1,風見幽香,5,攻击,"5,49,52,130,44,131,97,132,181"
1085,L1,霍青娥,7,速攻,"116,21,52,117,114,57,159,181"
1086,L1,宮古芳香,1,防御,"114,5,58,52,122,181"
1087,L1,秦こころ,3,回复,"23,16,14,125,52,181"
1088,L1,レティ・ホワイトロック,6,技巧,"5,46,83,52,132,181"
1089,L1,比那名居天子,6,技巧,"127,67,136,57,159,160,181"
1090,L1,永江衣玖,7,速攻,"5,157,136,58,147,181,195"
1091,L1,豊聡耳神子,5,攻击,"138,139,21,15,14,117,52,57,124,67,122,159,181"
1092,L1,物部布都,7,速攻,"139,21,149,117,52,58,124,122,2,138,159,181"
1093,L1,蘇我屠自古,8,破坏,"9,117,52,58,124,122,147,8,159,181"
1094,L1,鬼人正邪,6,技巧,"5,156,52,146,162,181"
1095,L1,少名針妙丸,5,攻击,"145,156,57,52,67,51,159,160,181"
1096,L1,幽谷響子,4,干扰,"5,6,68,69,77,52,181"
1097,L1,ミスティア・ローレライ,4,干扰,"5,6,68,142,140,102,175,52,181"
1098,L1,リグル・ナイトバグ,4,干扰,"5,140,85,131,130,52,181"
1099,L1,水橋パルスィ,5,攻击,"5,99,100,52,51,181"
1100,L1,黒谷ヤマメ,7,速攻,"5,140,99,100,52,181"
1101,L1,キスメ,8,破坏,"5,99,100,52,181"
1102,L1,ナズーリン,2,支援,"5,6,68,166,124,77,58,160,167,52,181"
1103,L1,雲居一輪,8,破坏,"5,52,77,124,123,58,181"
1104,L1,封獣ぬえ,5,攻击,"5,6,68,142,52,77,181"
1105,L1,堀川雷鼓,7,速攻,"23,16,14,102,52,147,181"
1106,L1,矢田寺成美,8,破坏,"3,5,36,121,55,52,181"
1107,L1,エタニティラルバ,2,支援,"7,14,140,131,130,55,52,181"
1108,L1,埴安神袿姫,6,技巧,"14,15,57,154,168,124,36,121,181"
1109,L1,杖刀偶磨弓,5,攻击,"36,121,58,154,168,124,67,181"
1110,L1,驪駒早鬼,7,速攻,"153,8,6,68,57,58,154,155,142,181"
1111,L1,吉弔八千慧,6,技巧,"153,8,6,68,157,57,154,158,181"
1112,L1,庭渡久侘歌,3,回复,"14,68,142,113,128,129,58,69,52,181"
1113,L1,牛崎潤美,8,破坏,"5,22,68,90,129,128,175,181"
1114,L1,戎瓔花,4,干扰,"8,122,90,129,128,15,14,181"
1116,L1,饕餮尤魔,5,攻击,"153,8,6,68,154,187,57,181"
1117,L1,豪徳寺ミケ,2,支援,"6,68,69,52,175,181"
1118,L1,山城たかね,6,技巧,"5,173,39,52,69,174,175,181"
1119,L1,駒草山如,4,干扰,"5,69,52,180,175,49,109,2,181"
1120,L1,玉造魅須丸,6,技巧,"14,162,69,172,52,181"
1121,L1,菅牧典,4,干扰,"68,6,5,58,69,52,181,57"
1122,L1,飯綱丸龍,7,速攻,"177,94,92,5,69,52,142,175,57,48,181"
1123,L1,天弓千亦,5,攻击,"14,69,52,175,181"
1124,L1,姫虫百々世,8,破坏,"5,140,172,69,52,50,181"
1125,L1,茨木童子の腕,8,破坏,"5,22,52,69,113,53,78,181"
1127,L1,孫美天,6,技巧,"68,6,5,14,69,52,58,158,181"
1128,L1,三頭慧ノ子,7,速攻,"68,6,5,160,55,52,58,155,181"
1129,L1,天火人ちやり,5,攻击,"68,6,5,8,99,100,52,58,60,187,181"
1130,L1,豫母都日狭美,8,破坏,"210,191,113,181"
1131,L1,日白残無,3,回复,"22,1,8,113,33,57,181"
2001,F1,博麗霊夢,5,攻击,"1,2,52,53,54,124,95,15"
2002,Z1,霧雨魔理沙,8,破坏,"3,5,52,55,48,56,47,95,85,59"
2003,E9,レミリア・スカーレット,8,破坏,"5,17,4,57,42,59,45,122,159,95"
2005,E1,十六夜咲夜,8,破坏,"1,124,95"
2006,A6,パチュリー・ノーレッジ,8,破坏,"5,3,57,25,52,59,60,56"
2007,E1,紅美鈴,1,防御,"5,58,59,123,95"
2008,E1,小悪魔,3,回复,"5,17,58,61,25,59,95"
2010,R2,西行寺幽々子,7,速攻,"9,8,57,64,65,56,122,95,159"
2011,R8,魂魄妖夢,7,速攻,"1,10,8,27,66,58,64,65,67,95,49"
2013,A7,八雲藍,2,支援,"5,6,68,18,11,58,57,52"
2014,A7,橙,6,技巧,"5,6,68,19,11,52,69,58"
2015,B5,鈴仙・優曇華院・イナバ,1,防御,"5,6,68,20,12,58,45,118,95,170"
2016,B3,綿月豊姫,3,回复,"13,28,51,42,57,75,45,161,95"
2017,B3,綿月依姫,5,攻击,"13,28,51,43,57,75,67,2,45,14,15,161,95"
2018,○○,八意永琳,5,攻击,"58,29,45,74,75,161,30,119,26,95"
2019,B3,蓬莱山輝夜,7,速攻,"13,57,51,29,45,159,160,161,95"
2020,B5,藤原妹紅,1,防御,"1,29,36,159,45,150,95"
2021,B3,清蘭,7,速攻,"5,6,68,20,12,32,45,75,161,95"
2022,B3,鈴瑚,6,技巧,"5,6,68,20,12,32,45,75,161,95"
2023,B3,レイセン,2,支援,"5,6,68,20,12,45,75,58,161,95"
2024,A12,聖白蓮,5,攻击,"3,33,76,34,57,171,123,124,42"
2025,C3,茨木華扇,2,支援,"21,5,22,178,68,52,69,57,26,78,62,123,124,131,95"
2030,A6,チルノ,4,干扰,"7,46,83,52,84"
2031,A6,大妖精,4,干扰,"7,52,84"
2032,A7,アリス・マーガトロイド,7,速攻,"3,5,36,52,55,25,56,60,34"
2033,A6,サニーミルク,4,干扰,"7,47,85,52,55,59,86,41"
2034,A7,ルナチャイルド,4,干扰,"7,52,55,25,86,45,85,44"
2036,B5,メディスン・メランコリー,3,回复,"36,186,5,152,50,74,49,99,182,95"
2037,W5,東風谷早苗,5,攻击,"1,14,37,38,2,152,69,88,124,95"
2038,A10,八坂神奈子,5,攻击,"14,15,52,69,88,81,124"
2039,A10,洩矢諏訪子,8,破坏,"14,16,52,69,88,89,124"
2040,A10,河城にとり,6,技巧,"5,24,90,39,52,69,91,175"
2042,Y5,因幡てゐ,3,回复,"20,6,5,15,21,57,45,150,95"
2044,A9,射命丸文,4,干扰,"94,92,5,69,52,142"
2048,W1,伊吹萃香,8,破坏,"5,22,14,69,194,57,95"
2050,S2,古明地さとり,3,回复,"5,98,99,100,101,42,57,60,25,95"
2051,F1,古明地こいし,6,技巧,"5,98,99,100,101,52,43,95,49"
2054,B3,小野塚小町,7,速攻,"115,186,152,99,113,58,182,95"
2055,B3,四季映姫・ヤマザナドゥ,4,干扰,"148,186,152,99,113,57,182,95"
2057,B2,純狐,5,攻击,"15,14,21,118,159,95,170"
2065,C3,依神女苑,6,技巧,"103,14,178,52,77,43,105,160,131,95"
2066,C3,依神紫苑,2,支援,"104,14,178,160,131,105,42,52,95"
2070,A16&,爾子田里乃,7,速攻,"14,52,126,58,198"
2071,A16&,丁礼田舞,6,技巧,"14,52,126,58,198"
2072,H5,上白沢慧音,2,支援,"106,107,66,1,5,6,68,108,45,25,118,170,152,95,40"
2073,A6,ルーミア,8,破坏,"5,52,112"
2074,A12&,寅丸星,7,速攻,"5,6,68,135,14,15,160,57,58,124,52,198"
2075,A12&,村紗水蜜,5,攻击,"5,10,8,52,58,198"
2076,C3,多々良小傘,5,攻击,"5,23,16,14,178,52,79,77,95,131"
2077,C3,わかさぎ姫,3,回复,"5,90,178,52,84,51,131,141,95"
2079,C3,赤蛮奇,7,速攻,"5,178,52,79,131,141,95"
2080,H5,ドレミー・スイート,4,干扰,"5,6,68,133,57,134,118,170,152,95,179"
2081,B3,稀神サグメ,2,支援,"13,75,45,14,15,119,26,142,162,161,95"
2083,A16&,高麗野あうん,1,防御,"6,5,68,15,120,121,53,88,77,52,198"
2084,H5,風見幽香,6,技巧,"5,170,49,44,131,97,132,95"
2086,C3~,宮古芳香,8,破坏,"114,5,122,212,52,58,41,67,123,95"
2087,C3,秦こころ,4,干扰,"23,16,14,178,52,125,131,95"
2088,H5,レティ・ホワイトロック,1,防御,"5,170,46,83,132,95"
2089,C3,比那名居天子,8,破坏,"127,178,160,136,67,57,131,159,95"
2091,A13,豊聡耳神子,1,防御,"138,139,21,15,14,117,57,124,67,122,159"
2096,C3,幽谷響子,8,破坏,"5,6,68,178,52,69,77,102,131,219,95"
2097,H5,ミスティア・ローレライ,8,破坏,"5,170,6,68,142,140,157,147,102,95"
2098,H5,リグル・ナイトバグ,7,速攻,"5,170,6,68,142,140,123,85,95"
2114,A17&,戎瓔花,6,技巧,"8,122,90,15,14,153,129,128,51,198"
2115,C3,奥野田美宵,6,技巧,"184,5,185,8,79,52,175,131,178,95"
2118,少女祈祷中,山城たかね,4,干扰,"5,173,39,52,69,174,175,56"
2121,C3~,菅牧典,7,速攻,"68,6,5,212,69,52,57,58,41,67,123,95"
2927,LR1,宇佐見蓮子,6,技巧,"17,202,42,189"
2937,LR1,宇佐見蓮子,5,攻击,"14,171,57,189"
3001,B3,博麗霊夢,6,技巧,"1,2,54,124,45,150,151,152,162,95"
3002,B3,霧雨魔理沙,6,技巧,"152,1,3,48,56,54,45,150,151,152,95"
3004,E1,フランドール・スカーレット,5,攻击,"5,17,4,43,73,59,45,122,159,67,95"
3005,B3,十六夜咲夜,6,技巧,"1,41,58,54,45,150,151,152,95"
3006,E1,パチュリー・ノーレッジ,5,攻击,"5,3,57,25,59,60,56,95"
3007,A6,紅美鈴,7,速攻,"5,52,59,58,123"
3008,A6,小悪魔,2,支援,"5,17,52,59,58,61,25"
3009,A7,八雲紫,6,技巧,"5,62,26,57,63,52,159,179"
3010,A7,西行寺幽々子,2,支援,"9,8,57,64,65,56,122,159"
3011,B3,魂魄妖夢,6,技巧,"1,10,8,27,66,58,67,54,45,150,151,152,95"
3015,B3,鈴仙・優曇華院・イナバ,6,技巧,"5,6,68,20,12,70,58,45,54,150,151,152,95"
3018,A8,八意永琳,6,技巧,"13,28,57,58,29,52,71,72,45,74,30,119,26"
3019,L80,蓬莱山輝夜,6,技巧,"45,29,160,52,71,72,57,51,13,60,159"
3020,L80,藤原妹紅,3,回复,"1,29,52,71,36,159"
3024,C3,聖白蓮,8,破坏,"3,76,34,178,77,52,57,33,123,124,131,42,95"
3030,A7,チルノ,5,攻击,"7,5,52,84,46,83"
3032,L80,アリス・マーガトロイド,5,攻击,"3,5,36,52,55,25,56,60,34,54"
3037,B3,東風谷早苗,6,技巧,"1,14,37,38,2,54,124,45,150,151,152,95"
3038,L80,八坂神奈子,6,技巧,"14,15,52,69,88,124"
3050,A11,古明地さとり,6,技巧,"5,98,99,100,101,52,42,57,60,25"
3051,A11,古明地こいし,7,速攻,"5,98,99,100,101,52,43"
3054,C3,小野塚小町,5,攻击,"115,178,113,128,129,58,131,95"
3072,L1A,上白沢慧音,5,攻击,"106,107,66,1,5,6,68,79,52,108,25,45,181"
3084,A6,風見幽香,3,回复,"5,49,52,130,44,131,97,132"
3091,C3,豊聡耳神子,7,速攻,"138,139,21,15,14,122,178,52,117,124,67,159,57,131,95"
3097,C3,ミスティア・ローレライ,7,速攻,"5,6,68,175,140,142,178,52,102,131,219,95"
3905,LM1,マエリベリー・ハーン,8,破坏,"191,8,113,192,57,189"
3926,LM1,マエリベリー・ハーン,7,速攻,"17,202,43,189"
4001,A6,博麗霊夢,5,攻击,"1,2,52,53,54,124"
4002,A6,霧雨魔理沙,7,速攻,"1,3,52,55,48,56,54"
4003,A6,レミリア・スカーレット,7,速攻,"5,17,4,57,42,52,59,45,54,122,159"
4004,A6,フランドール・スカーレット,7,速攻,"5,17,4,43,73,52,59,60,45,122,159"
4005,A6,十六夜咲夜,5,攻击,"1,41,58,52,59"
4007,L80,紅美鈴,6,技巧,"5,157,52,59,58,123"
4009,C3,八雲紫,3,回复,"5,62,26,57,63,52,159,131,178,95,179"
4010,L80,西行寺幽々子,6,技巧,"9,8,122,49,140,64,65,57,56,54,67,159"
4011,A7,魂魄妖夢,8,破坏,"1,10,8,27,66,58,64,65,67"
4013,A19,八雲藍,7,速攻,"5,6,68,52,11,58,18,57"
4015,A8,鈴仙・優曇華院・イナバ,7,速攻,"5,6,68,20,12,52,71,72,58,45,74"
4020,A8,藤原妹紅,7,速攻,"1,29,36,52,71,159"
4030,C3,チルノ,7,速攻,"7,46,83,178,52,84,54,131,95"
4031,A12.8&,大妖精,8,破坏,"7,49,52,84,198"
4032,B5,アリス・マーガトロイド,2,支援,"5,3,34,36,152,99,39,25,56,60,182,95"
4037,A10,東風谷早苗,7,速攻,"1,14,37,38,2,52,69,88,81,124"
4050,L80,古明地さとり,8,破坏,"5,98,99,100,101,52,42,57,60,25"
4051,C3,古明地こいし,5,攻击,"5,98,99,100,101,52,43,131,178,95"
4091,L80,豊聡耳神子,6,技巧,"138,139,21,15,14,122,117,52,57,124,67,159"
5001,A7A,博麗霊夢,6,技巧,"1,52,53,2,54,124,132"
5002,A7A,霧雨魔理沙,5,攻击,"1,48,52,55,3,54,132,56"
5003,L80,レミリア・スカーレット,5,攻击,"5,17,4,57,42,52,59,45,54,122,159"
5004,L80,フランドール・スカーレット,1,防御,"5,17,4,122,52,59,43,73,60,45,159"
5010,C3,西行寺幽々子,8,破坏,"9,8,122,178,64,65,57,56,131,159,95"
5011,L80,魂魄妖夢,2,支援,"1,10,8,27,66,58,64,65,67,54"
5015,L80,鈴仙・優曇華院・イナバ,5,攻击,"5,6,68,20,12,70,74,52,71,72,58,54,175,45"
5025,W5,茨木華扇,7,速攻,"5,22,14,152,68,69,194,58,123,95"
5026,A16.3&,本居小鈴,5,攻击,"1,5,216,52,79,175,25,23,198"
5029,A9.7,稗田阿求,1,防御,"1,40,52,79,57,25,60,159"
5031,E7,大妖精,3,回复,"7,206,207,67,95"
5037,L80,東風谷早苗,5,攻击,"1,14,37,38,2,52,69,88,54,124"
5046,W3,犬走椛,7,速攻,"111,92,5,68,212,69,95"
5050,C3,古明地さとり,1,防御,"5,98,99,100,101,52,42,57,60,25,131,178,95"
5051,L80,古明地こいし,4,干扰,"5,98,99,100,101,52,43"
5052,S5,火焔猫燐,7,速攻,"5,6,68,19,99,100,101,58,137,7,95"
5053,S5,霊烏路空,5,攻击,"5,6,68,99,100,101,58,15,14,142,95"
5056,B3,ヘカーティア・ラピスラズリ,2,支援,"14,118,57,113,152,95,186"
5067,B3,九十九弁々,4,干扰,"14,23,16,186,152,52,99,102,39,42,182,95"
5068,B3,九十九八橋,2,支援,"14,23,16,186,152,52,99,102,39,43,182,95"
5087,B3,秦こころ,7,速攻,"14,23,16,186,152,52,99,125,102,39,182,95"
5089,A6,比那名居天子,5,攻击,"127,160,136,57,159"
5094,B3,鬼人正邪,8,破坏,"5,146,14,186,152,160,99,182,95,95"
5102,A12&,ナズーリン,5,攻击,"5,6,68,166,160,124,58,57,52,198"
5105,B3,堀川雷鼓,6,技巧,"14,23,16,186,152,147,52,99,102,39,182,95"
5125,Lr,茨木童子の腕,2,支援,"22,5,14,67,160,69,113,53,78"
5131,C5>,日白残無,7,速攻,"22,1,8,196,67,113,33,57,44,95"
6001,A7B,博麗霊夢,7,速攻,"1,52,53,2,54,124,44"
6002,A7B,霧雨魔理沙,8,破坏,"1,48,52,55,3,54,44,56"
6003,C3,レミリア・スカーレット,1,防御,"5,17,4,122,178,52,59,57,42,45,159,131,95"
6004,C3,フランドール・スカーレット,4,干扰,"5,17,4,122,178,52,59,43,73,60,45,159,131,95"
6005,L80,十六夜咲夜,4,干扰,"1,41,58,52,59,54"
6010,A6,西行寺幽々子,3,回复,"9,8,122,64,65,57,56,159"
6011,C3,魂魄妖夢,6,技巧,"1,10,8,27,66,178,64,65,58,67,131,95"
6012,A7&,リリーホワイト,8,破坏,"7,52,44,198"
6020,C5=,藤原妹紅,5,攻击,"1,29,208,46,83,52,71,132,36,159,95"
6022,A10.3,鈴瑚,3,回复,"5,6,68,20,12,45,32,75,58"
6024,T5,聖白蓮,7,速攻,"3,76,34,52,77,33,57,123,124,188,95,42"
6025,L80,茨木華扇,5,攻击,"21,5,22,68,142,52,69,57,123,124,67,26,78,62"
6037,C3,東風谷早苗,4,干扰,"1,14,37,38,2,178,52,69,88,54,124,131,95"
6039,L80,洩矢諏訪子,2,支援,"14,16,88,69,52,124,89"
6040,Lr,河城にとり,5,攻击,"22,11,5,24,90,52,69,91,39,175"
6049,W5,星熊勇儀,6,技巧,"5,22,14,152,157,69,194,58,123,95"
6056,C3,ヘカーティア・ラピスラズリ,4,干扰,"14,118,57,113,131,178,95"
6062,B5,ルナサ・プリズムリバー,5,攻击,"93,8,122,186,152,99,102,39,42,182,95"
6063,B5,メルラン・プリズムリバー,7,速攻,"93,8,122,186,152,99,102,39,42,43,182,95"
6064,B5,リリカ・プリズムリバー,8,破坏,"93,8,122,186,152,99,102,39,42,43,182,95"
6084,A9&,風見幽香,8,破坏,"5,49,52,130,44,131,97,132,198"
6086,A13,宮古芳香,4,干扰,"114,5,122,117,52,58,159"
6087,Lr,秦こころ,8,破坏,"14,23,16,52,126,125"
6089,T5,比那名居天子,7,速攻,"127,160,136,57,188,159,95,67"
6092,A13,物部布都,3,回复,"139,21,149,122,138,52,117,2,58,159,124"
6093,A13&,蘇我屠自古,7,速攻,"9,122,8,117,52,58,124,147,159,198"
6094,A14,鬼人正邪,4,干扰,"5,146,156,52"
6095,B3,少名針妙丸,6,技巧,"145,160,152,156,52,99,182,186,67,51,57,159,95"
6112,B3,庭渡久侘歌,6,技巧,"14,68,142,186,152,99,113,58,182,95"
6123,C3<,天弓千亦,2,支援,"14,69,52,175,97,205,95"
7005,C3,十六夜咲夜,2,支援,"1,178,52,59,41,58,131,95"
7011,A6,魂魄妖夢,1,防御,"1,10,8,27,66,64,65,58,67"
7020,T5,藤原妹紅,6,技巧,"1,29,36,160,52,71,188,159,95"
7024,L80,聖白蓮,6,技巧,"3,76,34,52,77,33,57,123,124,42"
7036,A9&,メディスン・メランコリー,4,干扰,"36,5,50,74,49,87,198"
7037,L0g,東風谷早苗,3,回复,"9,14,69,88,2,38,124,190"
7038,L0g,八坂神奈子,1,防御,"9,14,15,69,88,124,190"
7039,L0g,洩矢諏訪子,5,攻击,"9,14,16,69,88,124,89,190"
7042,A8,因幡てゐ,8,破坏,"20,6,5,52,72,71,57"
7044,Lr,射命丸文,6,技巧,"22,11,94,92,5,142,52,69"
7060,A10&,秋穣子,6,技巧,"14,16,69,52,97,43,124,198"
7061,C3≧,鍵山雛,5,攻击,"14,5,36,225,69,52,105,95"
7062,A6,ルナサ・プリズムリバー,6,技巧,"93,8,122,52,84,102,42"
7063,A6,メルラン・プリズムリバー,5,攻击,"93,8,122,52,84,102,42,43"
7064,A6,リリカ・プリズムリバー,7,速攻,"93,8,122,52,84,102,42,43"
7073,A6&,ルーミア,8,破坏,"5,63,17,52,171,58,67"
7080,A15.3&,ドレミー・スイート,1,防御,"5,6,68,133,134,57,175,198"
7084,H5;7,風見幽香,6,技巧,"5,170,49,44,131,97,132,95"
7085,A13,霍青娥,8,破坏,"116,21,8,10,114,117,52,57,159"
7089,Lr,比那名居天子,4,干扰,"127,11,160,136,57,67,159"
7092,A13&,物部布都,3,回复,"139,21,149,122,138,52,117,2,58,159,124,198"
7095,A14,少名針妙丸,8,破坏,"145,160,57,67,51,159,156,52"
7112,A17.5&,庭渡久侘歌,7,速攻,"14,68,142,113,128,129,69,52,58,198"
8001,L80,博麗霊夢,7,速攻,"1,2,162,52,53,54,124"
8002,L80,霧雨魔理沙,7,速攻,"1,48,52,55,3,56,54,175"
8018,B3;6,八意永琳,5,攻击,"26,119,58,29,45,74,161,30,95"
8021,A15&,清蘭,8,破坏,"5,6,68,20,12,45,152,212,32,75,58,198"
8032,Z3,アリス・マーガトロイド,1,防御,"73,3,5,34,36,48,52,55,25,56,60,67,95"
8038,W2,八坂神奈子,2,支援,"14,15,69,88,124,95,14,15,69,88,124,95"
8039,W2,洩矢諏訪子,4,干扰,"14,16,89,69,88,124,95,14,16,89,69,88,124,95"
8054,C3≦,小野塚小町,2,支援,"115,90,221,222,113,128,129,58,95"
8055,C5>,四季映姫・ヤマザナドゥ,6,技巧,"148,196,113,128,57,44,95"
8057,L80,純狐,6,技巧,"15,14,21,118,159"
8058,A15&,クラウンピース,6,技巧,"7,113,58,118,198"
8059,A10&,秋静葉,8,破坏,"14,16,69,52,123,97,42,124,198"
8076,A12,多々良小傘,4,干扰,"5,14,23,16,52,79"
8081,C3∫,稀神サグメ,3,回复,"13,45,14,15,142,74,162,75,220,95"
8082,A14.5&,二ッ岩マミゾウ,4,干扰,"5,6,68,110,198"
8085,C3',霍青娥,6,技巧,"116,21,8,10,114,212,57,217,159,131,95"
8092,Y5,物部布都,5,攻击,"139,21,149,122,15,52,58,124,2,138,159,95"
8099,W3,水橋パルスィ,6,技巧,"5,99,100,52,51,181"
10002,D8,霧雨魔理沙,5,攻击,"176,183,3,67,48"
10003,Ce9,レミリア・スカーレット,5,攻击,"5,17,4,122,178,59,57,42,131,45,159,95"
10004,Ce1,フランドール・スカーレット,7,速攻,"5,17,4,122,178,59,43,73,131,45,159,95"
10030,E7,チルノ,5,攻击,"7,206,207,46,83,95,67"
10039,W2.-5,洩矢諏訪子,4,干扰,"14,16,196,81,88,89,124"
10043,A14.5&,宇佐見菫子,8,破坏,"1,35,80,82,81,198"
10045,A12.5&,姫海棠はたて,8,破坏,"94,92,5,142,67,152,160,69,52,60,198"
10048,○○,伊吹萃香,8,破坏,"5,22,14,69,194,57,200,203"
10057,C3',純狐,7,速攻,"15,14,21,212,217,118,159,131,95"
10058,C3≦,クラウンピース,4,干扰,"7,142,222,221,113,52,58,118,95"
