kind,buff_id,sub_id,label
sub,14,105,不吉
sub,14,106,半白泽
sub,14,107,半人半兽
sub,14,108,教师
sub,14,109,山佬
sub,14,110,狸
sub,14,111,白狼天狗
sub,14,112,暗
sub,14,113,地狱
sub,14,114,僵尸
sub,14,115,死神
sub,14,116,邪仙
sub,14,117,神灵庙
sub,14,118,月之仇敌
sub,14,119,月之贤者
sub,14,120,神兽
sub,14,121,像
sub,14,122,不死族
sub,14,123,格斗家
sub,14,124,宗教家
sub,14,125,能乐
sub,14,126,后户之国
sub,14,127,天人
sub,14,128,彼岸
sub,14,129,三途川
sub,14,130,太阳花田
sub,14,131,夏
sub,14,132,冬
sub,14,133,獏
sub,14,134,梦的世界
sub,14,135,虎
sub,14,136,天界
sub,14,137,怨灵
sub,14,138,圣人
sub,14,139,尸解仙
sub,14,140,虫
sub,14,141,草根妖怪网络
sub,14,142,鸟
sub,14,143,狼女
sub,14,144,狼女
sub,14,145,小人
sub,14,146,天邪鬼
sub,14,147,雷
sub,14,148,阎魔
sub,14,149,道士
sub,14,150,月面基地
sub,14,151,月战型
sub,14,152,机械
sub,14,153,动物灵
sub,14,154,畜生界
sub,14,155,劲牙组
sub,14,156,辉针城
sub,14,157,龙之眷族
sub,14,158,鬼杰组
sub,14,159,高贵
sub,14,160,财宝
sub,14,161,帝都
sub,14,162,阴阳玉
sub,14,163,秘宝
sub,14,164,武器
sub,14,165,物体
sub,14,166,鼠
sub,14,167,无缘冢
sub,14,168,灵长园
sub,14,169,精灵
sub,14,170,怪兽
sub,14,171,魔界
sub,14,172,虹龙洞
sub,14,173,山童
sub,14,174,秘天崖
sub,14,175,商人
sub,14,176,黑幕(LW)
sub,14,177,大天狗
sub,14,178,泳装
sub,14,179,间隙
sub,14,180,伪天棚
sub,14,181,基底类型
sub,14,182,地下废弃区
sub,14,183,龙
sub,14,184,座敷童子
sub,14,185,醉魔
sub,14,186,徒劳者
sub,14,187,刚欲同盟
sub,14,188,赛车手
sub,14,189,螺旋类型
sub,14,190,消失类型
sub,14,191,恶灵
sub,14,192,灵魔殿
sub,14,193,红魔塔
sub,14,194,旧都
sub,14,195,龙宫使者
sub,14,196,学生服
sub,14,197,猿
sub,14,198,远点存在
sub,14,199,蛇
sub,14,200,鬼之国
sub,14,201,梦幻馆
sub,14,202,梦幻世界
sub,14,203,极点存在
sub,14,204,油库里
sub,14,205,文化之祭典
sub,14,206,装甲
sub,14,207,妖精乡
sub,14,208,超胜负服
sub,14,209,新年弹幕
sub,14,210,黄泉醜女
sub,14,211,探险家
sub,14,212,銃火器
buff,15,,弹种增伤
sub,15,1,通常弹
sub,15,2,镭射弹
sub,15,3,体术弹
sub,15,4,斩击弹
sub,15,5,动能弹
sub,15,6,流体弹
sub,15,7,能量弹
sub,15,8,御符弹
sub,15,9,光弹
sub,15,10,尖弹
sub,15,11,追踪弹
buff,16,,属性增伤
sub,16,1,日属性
sub,16,2,月属性
sub,16,3,火属性
sub,16,4,水属性
sub,16,5,木属性
sub,16,6,金属性
sub,16,7,土属性
sub,16,8,星属性
sub,16,9,无属性
buff,17,,灵力回收上升
buff,18,,换位连携效果
sub,18,1,换位对象攻buff上升
sub,18,2,换位对象防buff上升
sub,18,3,换位对象速buff上升
sub,18,4,继承换位对象攻buff
sub,18,5,继承换位对象防buff
sub,18,6,继承换位对象速buff
buff,19,,无
buff,20,,上锁
sub,20,1,扩散射击
sub,20,2,集中射击
sub,20,3,符卡
sub,20,4,技能
sub,20,5,灵力强化
sub,20,6,擦弹
sub,20,7,交换
buff,21,,防御式buff上升
buff,22,,支援式buff上升
buff,23,,回复式buff上升
buff,24,,干扰式buff上升
buff,25,,攻击式buff上升
buff,26,,技巧式buff上升
buff,27,,速攻式buff上升
buff,28,,破坏式buff上升
buff,29,,无
buff,30,,无
buff,31,,防御式buff下降
buff,32,,支援式buff下降
buff,33,,回复式buff下降
buff,34,,干扰式buff下降
buff,35,,攻击式buff下降
buff,36,,技巧式buff下降
buff,37,,速攻式buff下降
buff,38,,破坏式buff下降
buff,39,,buff解除
sub,39,1,特防
sub,39,2,注目
sub,39,3,buff通常
sub,39,4,buff二阶
buff,40,,无
buff,41,,二阶buff上升
sub,41,1,阳攻
sub,41,2,阳防
sub,41,3,阴攻
sub,41,4,阴防
sub,41,5,速度
sub,41,6,命中
sub,41,7,回避
sub,41,8,CRI攻击
sub,41,9,CRI防御
sub,41,10,CRI命中
sub,41,11,CRI回避
sub,41,12,注目
buff,42,,二阶buff下降
sub,42,1,阳攻
sub,42,2,阳防
sub,42,3,阴攻
sub,42,4,阴防
sub,42,5,速度
sub,42,6,命中
sub,42,7,回避
sub,42,8,CRI攻击
sub,42,9,CRI防御
sub,42,10,CRI命中
sub,42,11,CRI回避
sub,42,12,注目
buff,43,,添加弱点
sub,43,1,日属性
sub,43,2,月属性
sub,43,3,火属性
sub,43,4,水属性
sub,43,5,木属性
sub,43,6,金属性
sub,43,7,土属性
sub,43,8,星属性
buff,44,,改变种族特攻
buff,45,,结界贯通特防
buff,46,,持续性buff
sub,46,3,持续回血
sub,46,4,持续回盾
sub,46,5,持续回P
sub,46,9,持续解异常
sub,46,10,持续解锁/解强度下降
buff,47,,共鸣
sub,47,5,速度上升
sub,47,6,灵力上升
sub,47,7,攻击伤害上升
sub,47,8,CRI伤害上升
sub,47,9,CRI命中率上升
buff,48,,蓄力增伤
sub,48,3,血量增伤
sub,48,4,结界增伤
sub,48,5,灵力增伤
buff,49,,属性增伤
sub,49,1,有利属性
sub,49,2,不利属性
buff,50,,属性减伤
sub,50,1,有利属性
sub,50,2,不利属性
buff,51,,回合缩短
sub,51,1,技能CD
sub,51,2,符卡条
sub,51,3,交换CD
buff,52,,回合延长
sub,52,1,技能CD
sub,52,2,符卡条
sub,52,3,交换CD
buff,53,,属性吸收
buff,54,,大结界
buff,55,,团结
sub,55,5,速度上升
sub,55,6,灵力上升
sub,55,7,攻击伤害上升
sub,55,8,CRI伤害上升
sub,55,9,CRI命中率上升
buff,56,,永久buff上升
sub,56,2,阳防
sub,56,4,阴防
buff,57,,永久buff下降
sub,57,2,阳防
sub,57,4,阴防
buff,58,,蓄积
sub,58,1,阳攻→阳攻
sub,58,2,阳防→阳攻
sub,58,3,阴攻→阳攻
sub,58,4,阴防→阳攻
sub,58,5,速度→阳攻
sub,58,6,阳攻→阳防
sub,58,7,阳防→阳防
sub,58,8,阴攻→阳防
sub,58,9,阴防→阳防
sub,58,10,速度→阳防
sub,58,11,阳攻→阴攻
sub,58,12,阳防→阴攻
sub,58,13,阴攻→阴攻
sub,58,14,阴防→阴攻
sub,58,15,速度→阴攻
sub,58,16,阳攻→阴防
sub,58,17,阳防→阴防
sub,58,18,阴攻→阴防
sub,58,19,阴防→阴防
sub,58,20,速度→阴防
sub,58,21,阳攻→速度
sub,58,22,阳防→速度
sub,58,23,阴攻→速度
sub,58,24,阴防→速度
sub,58,25,速度→速度
buff,59,,Live共鸣
