id,world_group,name,tribe
1072,L1,上白泽慧音,"106,107,66,1,5,6,68,108,79,52,45,25,181"
1073,L1,露米娅,"5,52,112,181"
1074,L1,寅丸星,"5,6,68,135,14,15,124,77,57,58,160,52,181"
1075,L1,村纱水蜜,"5,10,8,52,77,58,181"
1076,L1,多多良小伞,"5,23,16,14,52,79,77,181"
1077,L1,若鹭姬,"5,90,84,52,141,51,181"
1078,L1,今泉影狼,"143,107,6,68,144,5,71,45,52,141,181"
1079,L1,赤蛮奇,"5,52,79,141,181"
1080,L1,哆来咪·苏伊特,"5,6,68,133,57,134,175,181"
1081,L1,稀神探女,"13,75,45,14,15,119,26,142,162,181"
1082,L1,二岩猯藏,"5,6,68,110,77,52,181"
1083,L1,高丽野阿吽,"6,5,68,15,120,121,53,88,77,52,181"
1084,L1,风见幽香,"5,49,52,130,44,131,97,132,181"
1085,L1,霍青娥,"116,21,52,117,114,57,159,181"
1086,L1,宫古芳香,"114,5,58,52,122,181"
1087,L1,秦心,"23,16,14,125,52,181"
1088,L1,蕾蒂·霍瓦特洛克,"5,46,83,52,132,181"
1089,L1,比那名居天子,"127,67,136,57,159,160,181"
1090,L1,永江衣玖,"5,157,136,58,147,181"
1091,L1,丰聪耳神子,"138,139,21,15,14,117,52,57,124,67,122,159,181"
1092,L1,物部布都,"139,21,149,117,52,58,124,122,2,138,159,181"
1093,L1,苏我屠自古,"9,117,52,58,124,122,147,8,159,181"
1094,L1,鬼人正邪,"5,156,52,146,162,181"
1095,L1,少名针妙丸,"145,156,57,52,67,51,159,160,181"
1096,L1,幽谷响子,"5,6,68,69,77,52,181"
1097,L1,米斯蒂娅·萝蕾拉,"5,6,68,142,140,102,175,52,181"
1098,L1,莉格露·奈特巴格,"5,140,85,131,130,52,181"
1099,L1,水桥帕露西,"5,99,100,52,51,181"
1100,L1,黑谷山女,"5,140,99,100,52,181"
1101,L1,琪斯美,"5,99,100,52,181"
1102,L1,娜兹玲,"5,6,68,166,124,77,58,160,167,52,181"
1103,L1,云居一轮,"5,52,77,124,123,58,181"
1104,L1,封兽鵺,"5,6,68,142,52,77,181"
1105,L1,堀川雷鼓,"23,16,14,102,52,147,181"
1106,L1,矢田寺成美,"3,5,36,121,55,52,181"
1107,L1,爱塔妮缇拉尔瓦,"7,14,140,131,130,55,52,181"
1108,L1,埴安神袿姬,"14,15,57,154,168,124,36,121,181"
1109,L1,杖刀偶磨弓,"36,121,58,154,168,124,67,181"
1110,L1,骊驹早鬼,"153,8,6,68,57,58,154,155,142,181"
1111,L1,吉吊八千慧,"153,8,6,68,157,57,154,158,181"
1112,L1,庭渡久侘歌,"14,68,142,113,128,129,58,69,52,181"
1113,L1,牛崎润美,"5,22,68,90,129,128,175,181"
1114,L1,戎璎花,"8,122,90,129,128,15,14,181"
1115,L1,奥野田美宵,NoData
1116,L1,饕餮尤魔,"153,8,6,68,154,187,57,181"
1117,L1,豪德寺三花,"6,68,69,52,175,181"
1118,L1,山城高岭,"5,173,39,52,69,174,175,181"
1119,L1,驹草山如,"5,69,52,180,175,49,109,2,181"
1120,L1,玉造魅须丸,"14,162,69,172,52,181"
1121,L1,菅牧典,"68,6,5,58,69,52,181,57"
1122,L1,饭纲丸龙,"177,94,92,5,69,52,142,175,57,48,181"
1123,L1,天弓千亦,"14,69,52,175,181"
1124,L1,姬虫百百世,"5,140,172,69,52,50,181"
1125,L1,茨木童子之臂,"5,22,52,69,113,53,78,181"
1127,L1,孙美天,"68,6,5,14,69,52,58,158,181"
1128,L1,三头慧之子,"68,6,5,160,55,52,58,155,181"
1129,L1,天火人血枪,"68,6,5,8,99,100,52,58,60,187,181"
1130,L1,豫母都日狭美,"210,191,113,181"
1131,L1,日白残无,"22,1,8,113,33,57,181"
1801,L1,宇佐見蓮子,NoData
1802,L0,マエリベリ—·ハ—ン,NoData
1901,A3,博麗靈夢,NoData
1902,A3,霧雨魔理沙,NoData
1905,L100,魅魔,NoData
1918,L100,北白河ちゆり,NoData
1919,L100,岡崎夢美,NoData
1937,L100,神綺,NoData
2001,F1,博丽灵梦,"1,2,52,53,54,124,95,15"
2002,Z1,雾雨魔理沙,"3,5,52,55,48,56,47,95,85,59"
2003,E9,蕾米莉亚·斯卡雷特,"5,17,4,57,42,59,45,122,159,95"
2004,D8,フランド—ル·スカ—レット,NoData
2005,E1,十六夜咲夜,"1,124,95"
2006,A6,帕秋莉·诺蕾姬,"5,3,57,25,52,59,60,56"
2007,E1,红美铃,"5,58,59,123,95"
2008,E1,小恶魔,"5,17,58,61,25,59,95"
2010,R2,西行寺幽幽子,"9,8,57,64,65,56,122,95,159"
2011,R8,魂魄妖梦,"1,10,8,27,66,58,64,65,67,95,49"
2013,A7,八云蓝,"5,6,68,18,11,58,57,52"
2014,A7,橙,"5,6,68,19,11,52,69,58"
2015,B5,铃仙·优昙华院·因幡,"5,6,68,20,12,58,45,118,95,170"
2016,B3,绵月丰姬,"13,28,51,42,57,75,45,161,95"
2017,B3,绵月依姬,"13,28,51,43,57,75,67,2,45,14,15,161,95"
2018,B3,八意永琳,NoData
2019,B3,蓬莱山辉夜,"13,57,51,29,45,159,160,161,95"
2020,B5,藤原妹红,"1,29,36,159,45,150,95"
2021,B3,清兰,"5,6,68,20,12,32,45,75,161,95"
2022,B3,铃瑚,"5,6,68,20,12,32,45,75,161,95"
2023,B3,铃仙,"5,6,68,20,12,45,75,58,161,95"
2024,A12,圣白莲,"3,33,76,34,57,171,123,124"
2025,C3,茨木华扇,"21,5,22,178,68,52,69,57,26,78,62,123,124,131,95"
2030,A6,琪露诺,"7,46,83,52,84"
2031,A6,大妖精,"7,52,84"
2032,A7,爱丽丝·玛格特罗伊德,"3,5,36,52,55,25,56,60,34"
2033,A6,桑尼米尔克,"7,47,85,52,55,59,86,41"
2036,B5,梅蒂欣·梅兰可莉,"36,186,5,152,50,74,49,99,182,95"
2037,W5,东风谷早苗,"1,14,37,38,2,152,69,88,124,95"
2038,A10,八坂神奈子,"14,15,52,69,88,81,124"
2039,A10,洩矢诹访子,"14,16,52,69,88,89,124"
2040,A10,河城荷取,"5,24,90,39,52,69,91,175"
2042,Y5,因幡帝,"20,6,5,15,21,57,45,150,95"
2044,A9,射命丸文,"94,92,5,69,52,142"
2048,W1,伊吹萃香,"5,22,14,69,194,57,95"
2050,S2,古明地觉,"5,98,99,100,101,42,57,60,25,95"
2051,F1,古明地恋,"5,98,99,100,101,52,43,95,49"
2054,B3,小野塚小町,"115,186,152,99,113,58,182,95"
2055,B3,四季映姬·夜摩仙那度,"148,186,152,99,113,57,182,95"
2057,B2,纯狐,"15,14,21,118,159,95,170"
2065,C3,依神女苑,"103,14,178,52,77,43,105,160,131,95"
2066,C3,依神紫苑,"104,14,178,160,131,105,42,52,95"
2072,H5,上白泽慧音,"106,107,66,1,5,6,68,108,45,25,118,170,152,95,40"
2073,A6,露米娅,"5,52,112"
2076,C3,多多良小伞,"5,23,16,14,178,52,79,77,95,131"
2079,C3,赤蛮奇,"5,178,52,79,131,141,95"
2080,H5,哆来咪·苏伊特,"5,6,68,133,57,134,118,170,152,95,179"
2081,B3,稀神探女,"13,75,45,14,15,119,26,142,162,161,95"
2084,H5,风见幽香,"5,170,49,44,131,97,132,95"
2087,C3,秦心,"23,16,14,178,52,125,131,95"
2088,H5,蕾蒂·霍瓦特洛克,"5,170,46,83,132,95"
2089,C3,比那名居天子,"127,178,160,136,67,57,131,159,95"
2091,A13,丰聪耳神子,"138,139,21,15,14,117,57,124,67,122,159"
2096,C3,幽谷響子,"5,6,68,178,52,69,77,102,131,219,95"
2097,H5,米斯蒂娅·萝蕾拉,"5,170,6,68,142,140,157,147,102,95"
2098,H5,莉格露·奈特巴格,"5,170,6,68,142,140,123,85,95"
2115,C3,奥野田美宵,"184,5,185,8,79,52,175,131,178,95"
2927,LR1,宇佐见莲子,"17,202,42,189"
2937,LR1,宇佐见莲子,"14,171,57,189"
3001,B3,博丽灵梦,"1,2,54,124,45,150,151,152,162,95"
3002,B3,雾雨魔理沙,"152,1,3,48,56,54,45,150,151,152,95"
3003,D8,レミリア·スカ—レット,NoData
3004,E1,芙兰朵露·斯卡雷特,"5,17,4,43,73,59,45,122,159,67,95"
3005,B3,十六夜咲夜,"1,41,58,54,45,150,151,152,95"
3006,E1,帕秋莉·诺蕾姬,"5,3,57,25,59,60,56,95"
3007,A6,红美铃,"5,52,59,58,123"
3008,A6,小恶魔,"5,17,52,59,58,61,25"
3009,A7,八云紫,"5,62,26,57,63,52,159,179"
3010,A7,西行寺幽幽子,"9,8,57,64,65,56,122,159"
3011,B3,魂魄妖梦,"1,10,8,27,66,58,67,54,45,150,151,152,95"
3015,B3,铃仙·优昙华院·因幡,"5,6,68,20,12,70,58,45,54,150,151,152,95"
3018,A8,八意永琳,"13,28,57,58,29,52,71,72,45,74,30,119,26"
3019,L80,蓬莱山辉夜,"45,29,160,52,71,72,57,51,13,60,159"
3020,L80,藤原妹红,"1,29,52,71,36,159"
3024,C3,圣白莲,"3,76,34,178,77,52,57,33,123,124,131,42,95"
3030,A7,琪露诺,"7,5,52,84,46,83"
3032,L80,爱丽丝·玛格特罗伊德,"3,5,36,52,55,25,56,60,34,54"
3037,B3,东风谷早苗,"1,14,37,38,2,54,124,45,150,151,152,95"
3038,L80,八坂神奈子,"14,15,52,69,88,124"
3050,A11,古明地觉,"5,98,99,100,101,52,42,57,60,25"
3051,A11,古明地恋,"5,98,99,100,101,52,43"
3054,C3,小野塚小町,"115,178,113,128,129,58,131,95"
3072,L1A,上白沢慧音,NoData
3084,A6,风见幽香,"5,49,52,130,44,131,97,132"
3091,C3,丰聪耳神子,"138,139,21,15,14,122,178,52,117,124,67,159,57,131,95"
3097,C3,ミスティア・ローレライ,"5,6,68,175,140,142,178,52,102,131,219,95"
3905,LM1,玛艾露贝莉·赫恩,"191,8,113,192,57,189"
3926,LM1,玛艾露贝莉·赫恩,"17,202,43,189"
4001,A6,博丽灵梦,"1,2,52,53,54,124"
4002,A6,雾雨魔理沙,"1,3,52,55,48,56,54"
4003,A6,蕾米莉亚·斯卡雷特,"5,17,4,57,42,52,59,45,54,122,159"
4004,A6,芙兰朵露·斯卡雷特,"5,17,4,43,73,52,59,60,45,122,159"
4005,A6,十六夜咲夜,"1,41,58,52,59"
4007,L80,红美铃,"5,157,52,59,58,123"
4009,C3,八云紫,"5,62,26,57,63,52,159,131,178,95,179"
4010,L80,西行寺幽幽子,"9,8,122,49,140,64,65,57,56,54,67,159"
4011,A7,魂魄妖梦,"1,10,8,27,66,58,64,65,67"
4013,A19,八雲藍,"5,6,68,52,11,58,18,57"
4015,A8,铃仙·优昙华院·因幡,"5,6,68,20,12,52,71,72,58,45,74"
4020,A8,藤原妹红,"1,29,36,52,71,159"
4031,A12.8&,大妖精,"7,49,52,84,198"
4032,B5,爱丽丝·玛格特罗伊德,"5,3,34,36,152,99,39,25,56,60,182,95"
4037,A10,东风谷早苗,"1,14,37,38,2,52,69,88,81,124"
4050,L80,古明地觉,"5,98,99,100,101,52,42,57,60,25"
4051,C3,古明地恋,"5,98,99,100,101,52,43,131,178,95"
4091,L80,丰聪耳神子,"138,139,21,15,14,122,117,52,57,124,67,159"
5001,A7A,博丽灵梦,"1,52,53,2,54,124,132"
5002,A7A,雾雨魔理沙,"1,48,52,55,3,54,132,56"
5003,L80,蕾米莉亚·斯卡雷特,"5,17,4,57,42,52,59,45,54,122,159"
5004,L80,芙兰朵露·斯卡雷特,"5,17,4,122,52,59,43,73,60,45,159"
5010,C3,西行寺幽幽子,"9,8,122,178,64,65,57,56,131,159,95"
5011,L80,魂魄妖梦,"1,10,8,27,66,58,64,65,67,54"
5015,L80,铃仙·优昙华院·因幡,"5,6,68,20,12,70,74,52,71,72,58,54,175,45"
5025,W5,茨木华扇,"5,22,14,152,68,69,194,58,123,95"
5026,A16.3&,本居小鈴,"1,5,216,52,79,175,25,23,198"
5037,L80,东风谷早苗,"1,14,37,38,2,52,69,88,54,124"
5046,W3,犬走椛,"111,92,5,68,212,69,95"
5050,C3,古明地觉,"5,98,99,100,101,52,42,57,60,25,131,178,95"
5051,L80,古明地恋,"5,98,99,100,101,52,43"
5052,S5,火焰猫燐,"5,6,68,19,99,100,101,58,137,7,95"
5053,S5,灵乌路空,"5,6,68,99,100,101,58,15,14,142,95"
5056,B3,赫卡提亚·拉碧斯拉祖利,"14,118,57,113,152,95,186"
5067,B3,九十九弁弁,"14,23,16,186,152,52,99,102,39,42,182,95"
5068,B3,九十九八桥,"14,23,16,186,152,52,99,102,39,43,182,95"
5087,B3,秦心,"14,23,16,186,152,52,99,125,102,39,182,95"
5089,A6,比那名居天子,"127,160,136,57,159"
5105,B3,堀川雷鼓,"14,23,16,186,152,147,52,99,102,39,182,95"
5131,C5>,日白残無,"22,1,8,196,67,113,33,57,44,95"
6001,A7B,博丽灵梦,"1,52,53,2,54,124,44"
6002,A7B,雾雨魔理沙,"1,48,52,55,3,54,44,56"
6003,C3,蕾米莉亚·斯卡雷特,"5,17,4,122,178,52,59,57,42,45,159,131,95"
6004,C3,芙兰朵露·斯卡雷特,"5,17,4,122,178,52,59,43,73,60,45,159,131,95"
6005,L80,十六夜咲夜,"1,41,58,52,59,54"
6010,A6,西行寺幽幽子,"9,8,122,64,65,57,56,159"
6011,C3,魂魄妖梦,"1,10,8,27,66,178,64,65,58,67,131,95"
6012,A7&,莉莉怀特,"7,52,44,198"
6020,C5=,藤原妹红,"1,29,208,46,83,52,71,132,36,159,95"
6024,T5,圣白莲,"3,76,34,52,77,33,57,123,124,188,95"
6025,L80,茨木华扇,"21,5,22,68,142,52,69,57,123,124,67,26,78,62"
6037,C3,东风谷早苗,"1,14,37,38,2,178,52,69,88,54,124,131,95"
6039,L80,洩矢诹访子,"14,16,88,69,52,124,89"
6040,Lr,河城荷取,"22,11,5,24,90,52,69,91,39,175"
6049,W5,星熊勇仪,"5,22,14,152,157,69,194,58,123,95"
6056,C3,赫卡提亚·拉碧斯拉祖利,"14,118,57,113,131,178,95"
6062,B5,露娜萨·普莉兹姆利巴,"93,8,122,186,152,99,102,39,42,182,95"
6063,B5,梅露兰·普莉兹姆利巴,"93,8,122,186,152,99,102,39,42,43,182,95"
6064,B5,莉莉卡·普莉兹姆利巴,"93,8,122,186,152,99,102,39,42,43,182,95"
6086,A13,宫古芳香,"114,5,122,117,52,58,159"
6087,Lr,秦心,"14,23,16,52,126,125"
6089,T5,比那名居天子,"127,160,136,57,188,159,95"
6092,A13,物部布都,"139,21,149,122,138,52,117,2,58,159,124"
6093,A13&,苏我屠自古,"9,122,8,117,52,58,124,147,159,198"
6094,A14,鬼人正邪,"5,146,156,52"
6112,B3,庭渡久侘歌,"14,68,142,186,152,99,113,58,182,95"
7005,C3,十六夜咲夜,"1,178,52,59,41,58,131,95"
7011,A6,魂魄妖梦,"1,10,8,27,66,64,65,58,67"
7024,L80,圣白莲,"3,76,34,52,77,33,57,123,124,42"
7036,A9&,メディスン・メランコリー,"36,5,50,74,49,87,198"
7037,L0g,东风谷早苗,"9,14,69,88,2,38,124,190"
7038,L0g,八坂神奈子,"9,14,15,69,88,124,190"
7039,L0g,洩矢诹访子,"9,14,16,69,88,124,89,190"
7042,A8,因幡帝,"20,6,5,52,72,71,57"
7044,Lr,射命丸文,"22,11,94,92,5,142,52,69"
7060,A10&,秋穰子,"14,16,69,52,97,43,124,198"
7062,A6,露娜萨·普莉兹姆利巴,"93,8,122,52,84,102,42"
7063,A6,梅露兰·普莉兹姆利巴,"93,8,122,52,84,102,42,43"
7064,A6,莉莉卡·普莉兹姆利巴,"93,8,122,52,84,102,42,43"
7073,A6&,露米娅,"5,63,17,52,171,58,67"
7085,A13,霍青娥,"116,21,8,10,114,117,52,57,159"
7095,A14,少名针妙丸,"145,160,57,67,51,159,156,52"
7112,A17.5&,庭渡久侘歌,"14,68,142,113,128,129,69,52,58,198"
8001,L80,博丽灵梦,"1,2,162,52,53,54,124"
8002,L80,雾雨魔理沙,"1,48,52,55,3,56,54,175"
8032,Z3,爱丽丝·玛格特罗伊德,"73,3,5,34,36,48,52,55,25,56,60,67,95"
8038,W2,八坂神奈子,"14,15,69,88,124,95,14,15,69,88,124,95"
8039,W2,洩矢诹访子,"14,16,89,69,88,124,95,14,16,89,69,88,124,95"
8055,C5>,四季映姫・ヤマザナドゥ,"148,196,113,128,57,44,95"
8057,L80,纯狐,"15,14,21,118,159"
8058,A15&,克劳恩皮丝,"7,113,58,118,198"
8076,A12,多々良小傘,"5,14,23,16,52,79"
8082,A14.5&,二ッ岩マミゾウ,"5,6,68,110,198"
8085,C3',霍青娥,"116,21,8,10,114,212,57,217,159,131,95"
8099,W3,水桥帕露西,"5,99,100,52,51,181"
10002,D8,霧雨魔理沙,"176,183,3,67,48"
10003,Ce9,レミリア・スカーレット,"5,17,4,122,178,59,57,42,131,45,159,95"
10004,Ce1,フランドール・スカーレット,"5,17,4,122,178,59,43,73,131,45,159,95"
10030,E7,琪露诺,"7,206,207,46,83,95,67"
10043,A14.5&,宇佐见堇子,"1,35,80,82,81,198"
10057,C3',純狐,"15,14,21,212,217,118,159,131,95"
10069,L80,摩多罗隐岐奈,"14,52,126,62,26,57,159"
10107,A16&,爱塔妮缇拉尔瓦,"7,14,140,122,130,55,52,131,198"
11003,Z3,蕾米莉亚·斯卡雷特,"73,5,17,4,122,52,59,57,42,45,159,95"
11009,L50ws,八云紫,"5,179,25,213"
11010,B5,西行寺幽幽子,"9,8,122,152,99,57,39,56,159,182,95"
11032,C3<,爱丽丝·玛格特罗伊德,"3,5,34,36,55,52,25,56,60,97,205,95"
11040,A18.5,河城荷取,"5,24,90,52,69,91,39,175,56"
11044,C3<,射命丸文,"94,92,5,142,69,52,97,205,95"
11048,A7.5&,伊吹萃香,"22,5,69,52,78,198"
11050,Z3,古明地觉,"73,3,5,98,48,52,99,100,101,57,42,60,25,95"
11103,A12&,云居一轮,"5,52,33,124,123,58,67,198"
12002,F1,霧雨魔理沙,"1,48,36,52,55,3,56,54,175,95"
12004,Lr,芙兰朵露·斯卡雷特,"14,5,17,4,73,122,52,59,126,45,43,60,159"
12008,A6&,小恶魔,"5,63,17,52,59,171,58,61,25,198"
12015,B1,铃仙·优昙华院·因幡,"5,6,68,20,12,58,45,161,95"
12104,A12&,封兽鵺,"5,6,68,52,99,100,142,135,199,197,19,110,18,147,198,63"
13002,Cz1,雾雨魔理沙,"3,5,48,47,85,178,52,55,59,56,95,131"
13005,D8,十六夜咲夜,"183,41,58,176"
13007,A12.3,红美铃,"5,52,59,58,123"
13037,A19&,东风谷早苗,"1,14,37,38,2,52,69,88,54,124,198"
13056,C5>,赫卡提亚·拉碧斯拉祖利,"14,196,113,57,44,118,95"
14006,A10.5,帕秋莉·诺蕾姬,"5,3,52,59,57,25,60,56"
14015,T5,铃仙·优昙华院·因幡,"5,6,68,20,12,58,45,152,70,52,71,72,188,95"
15004,C5>,芙兰朵露·斯卡雷特,"5,17,4,122,196,52,59,43,73,60,45,159,44,95"
15011,L10.1,魂魄妖夢,"1,10,8,27,66,67,64,65,58,54,102,215"
15037,F1.-5,東風谷早苗,"1,14,37,88,54,38,2,95"
15051,C5>,古明地恋,"5,98,196,99,100,101,52,43,44,95"
16004,A17&,芙兰朵露·斯卡雷特,"5,17,4,122,153,52,59,43,73,60,45,159,198"
16006,L80,帕秋莉·诺蕾姬,"5,3,52,59,57,25,60,56"
17051,S5,古明地恋,"5,98,49,99,100,101,211,43,95"
18005,A7A,十六夜咲夜,"1,52,59,41,58,54,132"
19001,C3,博丽灵梦,"1,2,52,53,124,162,131,178,95"
19002,C3,雾雨魔理沙,"1,3,52,55,48,56,131,178,95"
19003,E1,蕾米莉亚·斯卡蕾特,"5,17,4,122,59,57,42,45,159,95"
19005,A7B,十六夜咲夜,"1,52,59,41,58,54,44"
19009,A6,八云紫,"5,63,179,52,57,159,62,26"
19032,A6,爱丽丝·玛格特罗伊德,"3,5,34,36,52,55,25,56,60"
19037,F1,东风谷早苗,"1,14,37,38,2,52,69,88,54,124,95"
20005,A9.4&,十六夜咲夜,"1,41,58,23,17,8,160,52,59,54,56,159,198"
21005,L10.1,十六夜咲夜,"1,41,52,59,58,54,102,215"
25001,L10.1,博丽灵梦,"1,2,162,52,53,54,124,102"
25002,L10.1,雾雨魔理沙,"1,48,36,52,55,3,56,54,175,102"
26001,X1$,博麗霊夢,"1,2,162,52,53,54,124,203"
26002,Cz1#,雾雨魔理沙,"3,5,48,47,85,209,52,55,59,193,56,95"
27001,Cf1#,博丽灵梦,"1,2,15,209,52,53,54,124,95"
27002,D8.-5,霧雨魔理沙,"183,3,1,67,48"
28001,F1;4,博麗霊夢,"1,15,124,2,52,53,54,95"
50001,AA,油库里灵梦,"204,52,53"
50002,AA,油库里魔理沙,"204,52,55"
50004,AA,油库里芙兰,"204,52,59"
50030,AA,油库里琪露诺,"204,52,84"
50032,AA,油库里爱丽丝,"204,52,55"
51002,Az1,油库里魔理沙,"204,214,52,59"
