kind,sub_id,value,name,description
4,3,-40,【己方侧】回复式弱化,己方全体回复式综合强度下降40% (永久)
4,6,-40,【己方侧】技巧式弱化,己方全体技巧式综合强度下降40% (永久)
4,7,-40,【己方侧】速攻式弱化,己方全体速攻式综合强度下降40% (永久)
4,8,-40,【己方侧】破坏式弱化,己方全体破坏式综合强度下降40% (永久)
13,0,-20,【己方侧】灵力上升效果下降,己方全体绘卷/技能/符卡效果/换位连携/特性的灵力上升的效果量下降20% (永久)
10,1,-40,【己方侧】通常弹威力下降,己方全体通常弹造成的伤害下降40% (永久)
10,8,-40,【己方侧】御符弹威力下降,己方全体御符弹造成的伤害下降40% (永久)
10,3,-40,【己方侧】体术弹威力下降,己方全体体术弹造成的伤害下降40% (永久)
10,4,-40,【己方侧】斩击弹威力下降,己方全体斩击弹造成的伤害下降40% (永久)
10,11,-40,【己方侧】追踪弹威力下降,己方全体追踪弹造成的伤害下降40% (永久)
10,6,-40,【己方侧】流体弹威力下降,己方全体流体弹造成的伤害下降40% (永久)
10,5,-40,【己方侧】动能弹威力下降,己方全体动能弹造成的伤害下降40% (永久)
10,7,-40,【己方侧】能量弹威力下降,己方全体能量弹造成的伤害下降40% (永久)
10,2,-40,【己方侧】镭射弹威力下降,己方全体镭射弹造成的伤害下降40% (永久)
10,9,-40,【己方侧】光弹威力下降,己方全体光弹造成的伤害下降40% (永久)
10,10,-40,【己方侧】尖头弹威力下降,己方全体尖头弹造成的伤害下降40% (永久)
4,5,-95,【味方側】攻撃式弱体,味方全体の攻撃式の総合つよさが95%ダウン (永続)
4,7,-95,【味方側】速攻式弱体,味方全体の速攻式の総合つよさが95%ダウン (永続)
4,5,-50,【味方側】攻撃式弱体,味方全体の攻撃式の総合つよさが50%ダウン (永続)
4,1,-50,【味方側】防御式弱体,味方全体の防御式の総合つよさが50%ダウン (永続)
4,2,-50,【味方側】支援式弱体,味方全体の支援式の総合つよさが50%ダウン (永続)
4,4,-50,【味方側】妨害式弱体,味方全体の妨害式の総合つよさが50%ダウン (永続)
4,3,-50,【味方側】回復式弱体,味方全体の回復式の総合つよさが50%ダウン (永続)
4,6,-50,【味方側】技巧式弱体,味方全体の技巧式の総合つよさが50%ダウン (永続)
4,7,-50,【味方側】速攻式弱体,味方全体の速攻式の総合つよさが50%ダウン (永続)
4,8,-50,【味方側】破壊式弱体,味方全体の破壊式の総合つよさが50%ダウン (永続)
