equipment_id,equipment_name,stats,attack_bonus_effects
84,星熊杯,HP+285 / 阴防+43,15:3+30%
92,要石,阳防+49 / 阴防+51,16:7+30%
94,灵验的御符,速度+50 / 阳攻+50,16:1+30%
99,新兴势力,HP+265 / 速度+47,16:8+30%
101,我们的梦,HP+550 / 阳防+70,16:6+25%
104,塞尔比努斯的加护,HP+375 / 速度+105,16:5+40% / 15:7+20%
105,幻想静止之日,阳攻+60 / 阳防+50,15:7+20%
107,服装店·香霖堂,HP+315 / 阳攻+77,16:1+20%
109,激斗钻石星尘,HP+325 / 阴攻+75,16:4+30%
111,天空的伴舞者,HP+300 / 速度+90,16:3+20% / 16:6+20%
113,隐秘温泉旅馆,HP+480 / 阴攻+84,15:3+25% / 16:6+25%
114,三魔女峰会,阳攻+84 / 阴防+66,16:9+20% / 16:8+20%
117,日常的放学后,速度+70 / 阴攻+70,16:9+30%
118,风祝所在之处,HP+675 / 速度+45,15:7+35% / 15:6+35%
123,吸血鬼的传统礼服,速度+65 / 阳攻+45,15:10+20%
124,吃食无双,HP+600 / 阴攻+60,15:3+45%
125,红胜还是白胜,HP+425 / 速度+55,15:5+20%
126,学问的守护圣人,阳防+75 / 阴防+75,15:9+25% / 16:2+25%
127,纯白的圣夜,HP+300 / 阴攻+50,15:7+15%
130,雷击,速度+125 / 阳防+55,15:7+30% / 16:5+25%
131,从月亮来的团子匠人,速度+60 / 阳防+80,16:2+30%
132,贤人会晤,阳攻+120 / 阴攻+60,15:9+40%
134,虎&龙,阳攻+70 / 阴攻+70,15:3+25% / 15:7+15%
135,燃烧三人组,阳防+50 / 阴攻+90,16:1+25% / 16:3+25%
136,要石落下,阴攻+100 / 阴防+80,16:7+30% / 15:5+30%
149,战斗姬,阳防+80 / 阴攻+60,15:4+30%
151,花间蝶舞,HP+290 / 阴攻+82,16:3+30%
156,红魔馆的华丽二人组,HP+250 / 阴攻+90,16:9+25% / 16:6+25%
165,重逢的兔子们,阳防+52 / 阴防+88,15:11+20%
166,少女秘封俱乐部,速度+60 / 阳攻+90,16:8+50%
172,人偶解放战线,HP+375 / 阴攻+75,15:9+25%
175,新茶入荷,阳防+82 / 阴防+58,15:8+30%
177,弹幕的背面：灵梦篇,阴攻+102 / 阴防+48,16:1+35% / 15:9+20%
182,林间客舍,速度+64 / 阴攻+76,15:5+25% / 16:5+20%
184,生命尚在之时的少女,HP+300 / 速度+50,16:5+35%
185,地底湖畔,HP+275 / 阳攻+55,16:7+35%
186,幽玄的剑圣,阳攻+75 / 阴攻+75,15:4+50%
191,香霖堂之主,阴攻+84 / 阴防+56,15:1+20%
193,诡计明星,阳防+50 / 阴防+60,15:10+15%
194,血之羁绊,阳攻+55 / 阴攻+125,16:3+50%
195,烈日下不融的冰妖精,HP+275 / 阴防+85,16:3+10%
197,一场春梦的花舞台,阳攻+110 / 阴防+70,15:10+40%
198,华扇的仙界,阳防+100 / 阴攻+80,15:3+25%
200,暗访记者,速度+108 / 阳攻+72,16:5+30% / 15:3+25%
202,不动的大图书馆,阳防+90 / 阴防+90,16:2+30% / 15:2+25%
203,第17回 博丽神社例大祭,速度+85 / 阳攻+95,15:5+20%
204,第17回 博丽神社例大祭(雾雨魔理沙),HP+540 / 阴防+72,15:10+20%
205,信仰之山,阳攻+110 / 阴防+70,15:9+30%
207,恶魔大小姐,阳攻+55 / 阴攻+55,15:1+15% / 15:2+15%
208,是动物灵做的！？,速度+55 / 阳攻+85,15:9+20%
209,火力就是生命,HP+150 / 速度+80,16:6+20%
211,“博丽灵梦”虎之穴版,HP+450 / 阳防+90,15:8+15%
212,“夏日生活”秋叶原爱好家版,阳攻+92 / 阴攻+88,15:7+20%
213,“纳兹琳”蜜瓜书店版,阳防+88 / 阴防+92,15:11+20%
214,“幻想乡”东方八百万商店版,HP+530 / 阴防+74,16:7+20%
216,地底都市☆狂欢夜,速度+85 / 阴攻+95,15:7+20%
217,浓雾湖畔☆鲜血月,阳攻+65 / 阴攻+75,16:3+30%
218,百万耀斑,阳攻+105 / 阴攻+75,16:1+30% / 16:3+30%
219,“博丽神社秋祭2020”,阳防+98 / 阴攻+82,15:1+20%
221,无名的冒险者们,阳攻+85 / 阳防+65,15:1+50%
222,无计划少女,阴攻+75 / 阴防+65,16:4+45%
225,名医的助手们,阳攻+80 / 阴攻+60,16:9+25%
227,第七回 博丽神社秋季例大祭,阳攻+90 / 阴攻+90,15:5+20%
233,闪亮夏日,速度+72 / 阴攻+108,16:3+35% / 16:8+35%
234,掌握,阴攻+110 / 阴防+70,15:7+30% / 16:3+25%
236,亘古河流,阳攻+102 / 阴攻+78,16:4+25%
237,角鸮与蝙蝠,阳攻+90 / 阴防+50,16:2+10%
239,向着月之首都,HP+275 / 速度+85,15:7+25%
240,少女密室,阴攻+84 / 阴防+56,16:3+25%
241,月夜少女与蝶共舞,速度+60 / 阳攻+80,15:10+25%
242,盛宴之时！,HP+350 / 阳防+70,15:9+25%
243,步入后户,阳攻+66 / 阴攻+74,15:5+25%
249,女仆流拔刀术,速度+68 / 阴攻+82,16:6+30%
250,来一个怎么样？,阳防+70 / 阴防+40,15:3+20%
252,我可爱的小小淑女,阴攻+98 / 阴防+82,15:7+35% / 15:4+35%
254,月都冻结计划,阳攻+118 / 阳防+32,15:5+35% / 16:4+25%
257,学生会三役齐登场,HP+500 / 速度+50,15:3+30% / 15:9+30% / 15:5+30%
259,秘密制冰所,阴攻+75 / 阴防+105,15:4+30%
260,灼热·情书？,HP+300 / 阴防+50,15:8+20%
262,天空的秘神,阳防+75 / 阴防+75,15:5+50%
263,无限的花园,阴攻+115 / 阴防+35,15:2+50% / 16:5+40%
264,冰冻的幻想乡,HP+240 / 阴攻+62,15:6+35%
265,人偶使与死灵使,阴攻+96 / 阴防+54,15:9+50% / 16:9+50%
266,真身成谜的结界组,阳攻+70 / 阴攻+80,15:7+50%
267,新发明·厄之清洁器,HP+290 / 阴攻+82,15:11+30%
268,文艺少女美如画,阴攻+50 / 阴防+100,15:5+50% / 16:3+45% / 16:4+45%
270,自地而出鲜红胜血,阳攻+65 / 阴攻+115,16:3+20% / 15:4+15%
273,怎么这么不讲道理——,HP+400 / 阳攻+100,15:10+20% / 16:5+15%
275,周年庆·红魔馆,阳防+65 / 阴攻+115,15:2+25%
276,周年庆·命莲寺,HP+270 / 阳攻+126,16:6+25%
277,周年庆·妖怪之山,速度+55 / 阴防+125,15:3+25%
279,鲜血点单,阴攻+83 / 阴防+67,16:3+40%
280,狗狗点单,HP+260 / 阳攻+58,16:5+30%
281,第18届博丽神社例大祭,阳攻+90 / 阴攻+90,15:1+20%
282,小小的乐团成员,阳攻+80 / 阳防+70,15:1+25%
285,死灵牛杂锅,速度+80 / 阳攻+70,16:4+20%
286,魔法三人三件套,阳防+75 / 阴防+75,15:2+20%
289,一如既往的露天咖啡馆,阳攻+75 / 阴攻+75,16:7+50%
291,夜路好~可怕,HP+275 / 阳攻+55,16:2+25%
292,南瓜派大好评,速度+76 / 阴攻+74,16:6+35%
293,月球旅行记,阳攻+45 / 阴攻+65,16:2+40%
294,月战型日常训练,速度+75 / 阴防+75,16:2+50% / 15:1+60%
295,月战型战前简报,速度+60 / 阳攻+90,15:7+50% / 16:2+50%
296,月战型午餐时间,速度+90 / 阳攻+60,15:7+50% / 16:8+50%
297,鸟船卫星,HP+300 / 阳攻+50,16:8+25%
299,打扫卫生,速度+48 / 阳攻+102,15:4+30% / 16:1+15%
301,鲵吞亭的看板娘,阳攻+88 / 阳防+62,16:1+25%
302,疗养院的你,HP+400 / 阳防+30,16:9+40%
303,深夜拉伸,阳攻+38 / 阴攻+72,16:3+25%
304,虹龙洞,阳攻+85 / 阴攻+95,16:8+20% / 15:3+15%
305,造形之神,阳攻+100 / 阳防+80,16:7+40%
307,回忆所在之处,HP+370 / 阴攻+106,15:7+20%
309,太夫的售票处,HP+330 / 阴防+74,15:8+30%
312,黄泉有闲人,阳攻+106 / 阴攻+44,15:4+50% / 16:6+50%
313,莲台野夜行,HP+320 / 阳防+46,16:2+30%
314,天魔之山漫天星,阳攻+85 / 阴攻+95,16:8+35%
316,垒石大赛,速度+122 / 阴攻+58,16:4+40% / 15:3+40%
317,博丽神社的七五三,HP+400 / 阳攻+70,16:8+30%
318,咲夜：平行宇宙,速度+85 / 阳防+65,15:4+30%
321,第8届博丽神社例大祭,阳攻+90 / 阴攻+90,16:9+25%
322,对雪交杯,阳防+48 / 阴攻+62,15:4+25%
323,冬季休假,HP+400 / 阴防+70,15:2+35%
326,秘密洽谈,阳攻+80 / 阴防+60,15:11+25%
330,休息时间,阳防+65 / 阴防+85,16:4+25%
331,识文解意的看店少女,阴攻+80 / 阴防+70,15:1+20%
333,周年庆·地灵殿,阳攻+90 / 阴攻+90,15:7+30% / 15:9+30%
338,狂暴·点餐,速度+58 / 阴攻+52,15:7+25%
340,看巫女家的仙人,阳攻+92 / 阴攻+58,15:3+50%
341,准备出动,HP+325 / 阳防+85,16:4+30%
343,第19回 博丽神社例大祭,HP+550 / 阴防+70,15:8+25%
344,度假地的主角们,速度+47 / 阳攻+103,15:6+50%
346,墙面·尖牙·大涂鸦,HP+255 / 阴防+99,15:10+30%
347,双人试胆会,速度+65 / 阳防+45,15:8+25% / 15:2+25%
348,海岛·幻想曲！,阳攻+105 / 阴攻+45,16:4+40% / 15:6+25%
350,众人造就的地下偶像,阳防+70 / 阴防+80,16:7+25%
351,亚当斯基的梦想,阳攻+33 / 阴攻+77,15:4+25%
352,邂逅,阴攻+75 / 阴防+35,16:9+35%
353,我的搭档式神侦探,HP+400 / 阳防+70,16:6+25%
357,暖热的指尖,速度+38 / 阴攻+112,16:2+50% / 15:10+45%
358,斑驳木春菊,阳攻+42 / 阴攻+108,15:10+50% / 16:5+40%
359,月与十六夜,速度+35 / 阳攻+115,15:4+50% / 16:8+40%
360,白银之风,阳攻+118 / 阳防+32,16:3+50% / 15:9+45%
361,NAЯAKA,阳攻+99 / 阴攻+51,15:7+50% / 16:3+40%
362,道别淡染天青,阳攻+106 / 阴防+44,15:11+50% / 16:5+45%
363,Disillusion,阳攻+75 / 阴攻+75,16:6+50% / 15:4+45%
364,I'm Alright!,阴攻+112 / 阴防+38,16:8+50% / 15:10+50%
365,划破夜空的光,速度+36 / 阳攻+114,15:2+50% / 16:8+50%
366,祭月夜 SIDE铃仙,阳攻+37 / 阴攻+113,15:9+50% / 16:2+45%
367,祭月夜 SIDE辉夜,阴攻+113 / 阴防+37,16:2+50% / 16:5+45% / 15:9+45%
368,与你重逢的奇迹之日,阳攻+114 / 阴攻+36,16:8+50% / 15:9+50% / 15:2+50%
369,业速,速度+33 / 阳攻+117,15:8+50% / 16:1+50%
371,砂糖点心和妹妹,阳攻+114 / 阴攻+36,16:5+50% / 15:2+45%
372,选择汝之兽,阳攻+75 / 阴攻+75,15:3+50% / 15:7+50%
373,流星的魔法使,速度+40 / 阳攻+110,15:11+50%
374,在海之家蚕食鲸吞,HP+185 / 阳攻+113,15:3+50% / 15:6+50%
375,欢迎来到魔法面包店！,阳攻+70 / 阳防+40,16:7+25%
376,春色悖论,HP+370 / 阳防+76,16:5+25% / 15:1+25%
377,女神之夏，幻想之海,阳攻+125 / 阴攻+25,15:5+50% / 15:8+50%
379,暗黑舞蹈大舞台！,HP+410 / 阴攻+98,16:8+40%
380,凝眼怜花花亦友,阳攻+129 / 阴攻+21,16:5+50% / 15:6+45%
381,现代年末度假法！,阳防+90 / 阴防+60,16:8+30%
382,末那识的初梦枕,速度+75 / 阴攻+75,16:1+50% / 15:4+50%
383,狂气的赤瞳,阳攻+25 / 阴攻+125,15:7+50% / 16:2+50%
386,灵梦的祓除大作战,阳防+75 / 阴防+75,15:8+25%
387,第9届 博丽神社秋季例大祭,阳防+41 / 阴防+139,16:6+25%
388,地灵殿的午后一点,阴攻+75 / 阴防+75,16:3+30%
390,异变神社,阳攻+22 / 阴攻+128,15:5+50% / 15:3+50% / 16:8+50%
391,巫女变生,HP+250 / 阴攻+100,15:8+50%
393,竞技场的大欲大乐,HP+500 / 阴防+50,16:1+35%
397,宝石魔法,阳攻+86 / 阴攻+64,16:8+30% / 16:3+30%
398,心跳不已的彩蛋寻宝,HP+400 / 阳防+30,15:5+25%
400,春眠不觉晓,HP+350 / 阳攻+110,16:5+40%
402,月战型领袖团队,阳攻+100 / 阳防+50,16:2+50% / 15:9+50%
405,咲夜的纪念弹幕,HP+350 / 速度+110,15:4+45%
408,铃仙的纪念弹幕,阳攻+60 / 阴攻+120,16:2+30%
409,神灵天手力神男,速度+56 / 阴攻+124,16:1+25%
410,密室少女,阳攻+65 / 阳防+85,15:5+50% / 16:3+45%
412,要迟到了要迟到了～！,HP+550 / 阳防+40,15:4+20% / 16:2+15%
415,破坏指令,阳攻+80 / 阴防+70,16:7+35%
416,火箭之夏,阴攻+114 / 阴防+36,15:11+40% / 16:3+25%
417,天狗大将棋,阳防+75 / 阴防+75,15:3+25%
419,复灵EX,阳攻+40 / 阴攻+110,16:4+50% / 15:6+40%
420,命运交织！(Engage!),阴攻+50 / 阴防+100,16:2+50% / 15:6+50%
421,这里是旧都旧地狱街道,HP+400 / 阴防+70,16:8+35% / 16:2+35%
422,吃遍旧地狱温泉街！,速度+50 / 阳攻+60,16:3+20%
425,星の人形たち,阳攻+50 / 阳防+100,16:1+60% / 15:3+60%
427,女子二乐坊 Ver.ROCK★,速度+25 / 阳攻+125,16:6+50% / 16:4+40% / 15:6+45%
428,梦与光的魔法,HP+300 / 阳攻+90,15:9+35% / 15:7+30%
430,芙兰的睡床,阴攻+50 / 阴防+100,16:4+50% / 15:6+50%
431,诚如天人所言,阳攻+50 / 阳防+100,15:2+50% / 16:4+45%
432,当心道中落石,速度+100 / 阴攻+50,16:3+50% / 15:7+50%
433,永远的夏之巫女,速度+56 / 阴攻+124,16:1+45% / 16:6+45%
435,第20届 博丽神社例大祭,阳攻+90 / 阳防+90,15:7+25%
436,HESHANG THE ROCK,HP+500 / 阴防+50,16:6+35% / 16:1+30%
438,地底世界之春,速度+85 / 阳攻+65,15:5+50% / 16:7+45%
439,斑鸠的学徒们,速度+76 / 阴防+104,16:8+25%
441,太子道,HP+300 / 速度+120,15:4+40%
442,逆转异变,HP+400 / 阴防+100,16:8+40%
443,怪盗猫咪,HP+450 / 阴防+60,15:5+30% / 16:2+30%
444,真相不明的弹幕狙击手,速度+74 / 阴攻+36,15:4+25%
446,辛红北极星,速度+36 / 阳攻+114,15:2+50% / 16:3+45%
447,彼岸归航,HP+350 / 速度+110,16:4+40%
449,山姥的圣域,HP+300 / 速度+120,15:7+40%
450,大天狗的巨大饭团,速度+90 / 阴攻+60,16:8+35% / 15:9+30%
451,猜谜大奖赛,阳攻+50 / 阴攻+60,15:3+30%
452,恐怖！只身南洋九人组,速度+37 / 阳攻+113,15:5+50% / 16:3+45%
454,南国冥界海鲜美食家,速度+56 / 阳攻+124,16:4+40%
455,死亡天狗危机,速度+100 / 阳防+50,16:5+50% / 15:3+45% / 15:7+45%
456,模拟式神,速度+50 / 阴攻+100,16:5+30%
457,怪獣はなぜ滅んだのか,阳攻+75 / 阳防+75,16:3+50% / 15:2+50%
458,古明地观光无尽之旅,阳攻+114 / 阳防+66,16:4+35%
462,模拟二童子,速度+50 / 阴攻+100,16:7+50% / 15:7+50%
463,夜叉罗刹,阳攻+29 / 阴攻+81,16:7+35%
464,幻想落语压轴登场,HP+375 / 阴防+75,16:7+35% / 15:3+30% / 15:5+30%
466,恶灵凭依,阳攻+45 / 阴攻+105,16:2+50% / 15:9+50%
467,魔神降临,速度+44 / 阳攻+106,16:1+50% / 15:9+50%
469,失落之山,速度+90 / 阳防+60,16:6+50% / 15:9+50%
470,照片拍下了什么？,HP+400 / 阳攻+100,15:7+40%
471,第十回博丽神社秋季例大祭,HP+550 / 阳防+70,16:1+25%
472,忠诚献与主，祈祷献与星,阳防+100 / 阴防+50,16:7+30% / 15:4+20%
473,细雪僵尸,阴攻+26 / 阴防+84,16:4+30%
476,钓而不纲,速度+50 / 阴攻+100,16:5+45% / 15:3+50%
480,日常 ~点心偶然烤多了的日子~,阳攻+100 / 阴防+40,15:2+20%
482,红魔馆的妖精女仆？,阳攻+55 / 阴防+55,16:4+35%
483,女仆准备中,HP+500 / 阴防+50,16:6+30% / 15:7+25%
485,メイド長代行の門番小娘,速度+100 / 阴攻+50,16:8+50% / 15:4+50%
486,光谱学,阳攻+70 / 阳防+80,16:1+50% / 15:2+50%
487,表里一体,速度+75 / 阳防+75,16:7+50% / 15:9+50%
489,时间界限,阳攻+115 / 阴攻+35,16:5+50% / 15:4+50%
490,PHANTOM PAIN,速度+30 / 阴攻+120,16:1+50% / 15:4+50%
491,Be the change,速度+35 / 阳攻+115,16:8+50% / 15:10+50%
492,举头思月,阴攻+110 / 阴防+40,16:7+50% / 15:10+50%
493,失落的祟神,阳攻+70 / 阳防+80,16:7+50% / 15:5+50%
494,悲伤的出口,速度+40 / 阴防+110,16:8+50% / 15:8+50%
495,(TT)钟情言语,阳防+60 / 阴防+90,16:7+50% / 15:9+50%
496,若要为生命赋名,HP+150 / 速度+120,15:1+60%
497,Holy Again,速度+70 / 阳攻+80,15:1+60% / 16:8+50%
498,感伤的信号,速度+50 / 阳攻+100,15:1+60% / 16:1+50%
499,自命莲寺送上声援,HP+300 / 阴防+90,16:4+30% / 15:3+25%
500,嫉妒&力量！,HP+250 / 阴攻+60,15:9+35%
501,无法逃离的过去,阴攻+50 / 阴防+90,15:5+30% / 16:4+20%
503,繁星璀璨之夜的魔术师,阴攻+100 / 阴防+50,15:2+50% / 16:5+50%
504,第一百次黑市,速度+100 / 阳攻+80,15:3+40%
505,魔賢者,速度+100 / 阴攻+50,16:4+50% / 15:3+50% / 15:4+50%
506,浮沉船上兔,HP+250 / 速度+100,16:6+35% / 15:6+35%
507,魔法少女波兔,HP+150 / 阴防+80,15:7+30% / 15:4+30%
508,以拳会友,阳攻+100 / 阳防+80,16:8+40%
509,第二漂亮的石头,速度+50 / 阳攻+100,16:4+50% / 15:3+50%
510,安闲惬意的神秘竹林,速度+50 / 阳攻+100,16:4+60% / 15:5+60%
511,村中万物皆调畅,速度+75 / 阴攻+75,16:6+50% / 15:7+50%
512,また別のお話,阴攻+50 / 阴防+100,16:4+50% / 15:9+50%
513,红之学生会长,HP+200 / 阴防+110,16:3+35% / 15:7+35%
514,地之学生会长,HP+150 / 阳攻+80,15:10+30%
515,无人知晓的幻想,速度+70 / 阳攻+80,15:9+50%
517,哔哔作响的数码使,阴攻+60 / 阴防+90,16:4+50% / 15:5+50%
520,冰凉交锋,阳防+55 / 阴防+55,16:8+30%
521,雪糕点单,阳攻+100 / 阴攻+50,15:7+35%
522,超越幻想,速度+70 / 阴攻+80,16:8+50% / 15:5+50%
524,设备演出,HP+250 / 阳防+100,16:7+45% / 15:7+40%
526,复兴飞升,阳攻+75 / 阴攻+75,16:1+60%
527,虹光闪耀的舞台,阳防+75 / 阴防+75,16:4+30% / 16:5+30%
529,凶险至极之梦,速度+110 / 阳攻+40,16:8+50% / 15:9+50%
530,凶恶绝顶之幻,速度+110 / 阴攻+40,16:1+50% / 15:9+50%
531,超越的疯狂之月,阳防+75 / 阴防+75,16:8+50% / 16:3+50%
532,ダイブ·トゥ·ツリー,速度+100 / 阳攻+50,16:2+50% / 15:5+50%
534,第21届 博丽神社例大祭,阳攻+100 / 阴攻+80,16:8+25%
536,霍瓦特洛克冰点屋,HP+300 / 阴攻+90,16:4+35% / 15:5+30%
537,小小桃花源,HP+300 / 阴攻+80,16:1+30%
539,血污地狱,HP+300 / 阴防+80,15:7+30% / 16:8+20%
540,誓要守护之人,速度+90 / 阴攻+60,16:4+50% / 15:7+50%
543,地底纪念品,阳攻+50 / 阴攻+60,16:3+30% / 15:7+30%
544,展会期刊,速度+90 / 阴攻+60,16:6+50% / 16:5+50%
545,手办原型师,阴攻+70 / 阴防+80,16:6+50% / 16:7+50%
546,超越黑暗,阳攻+75 / 阴攻+75,16:2+50% / 15:9+50%
549,兔子追捕者,阳防+55 / 阴防+55,15:8+30%
550,兔子被捕者,HP+400 / 阴攻+70,16:7+35% / 15:5+35%
551,帝都绝对防御战线,HP+200 / 阳防+70,16:2+35%
552,海滩管理者,速度+70 / 阳攻+80,16:1+50% / 15:6+50%
553,アナザー鬼傑組,速度+100 / 阳攻+50,16:1+50% / 15:4+50%
554,アナザー勁牙組,阳攻+75 / 阳防+75,16:6+50% / 15:7+50%
555,アナザー剛欲同盟,速度+80 / 阴攻+70,16:5+50% / 15:7+50%
556,糖果+捣蛋妖怪网络,HP+300 / 速度+50,16:2+30%
557,恐怖三人组,阴攻+70 / 阴防+80,16:4+35% / 15:10+35%
561,失落的慢生活,阴攻+60 / 阴防+90,15:3+40%
563,各自相约,阳攻+80 / 阴攻+70,16:3+35%
564,秽土之上亦有白雪,速度+50 / 阳攻+60,16:5+30% / 15:5+30%
565,常夏乡的巫女们,速度+50 / 阳攻+100,16:4+50% / 15:9+50%
566,海滨猎手,速度+60 / 阳攻+90,15:10+50% / 16:6+50%
570,第11届 博丽神社秋季例大祭,阳防+90 / 阴防+90,15:2+25%
575,地底大家庭,速度+50 / 阳攻+100,16:3+50% / 15:7+50%
578,家电烹饪道阻且长,阳攻+75 / 阴攻+75,16:5+35% / 16:2+35%
582,降神祈祷师的新年,速度+90 / 阴攻+60,16:1+50% / 15:8+50%
583,红梦魔女的新年,速度+60 / 阳攻+90,16:8+50% / 15:3+50%
586,应援之山！,HP+375 / 阴防+75,16:5+35% / 15:7+35%
587,多足运动员,HP+300 / 阴防+50,15:4+30%
594,风魔同党,阳攻+55 / 阴攻+55,16:5+30% / 15:7+30%
601,青春就是科学！,速度+70 / 阳攻+40,15:5+30%
602,花园地狱的女神,速度+80 / 阳攻+70,16:3+50% / 15:9+50%
603,花园的最高裁判长,阳攻+90 / 阳防+60,16:1+50% / 15:9+50% / 15:2+45%
604,新花园的管理员,速度+110 / 阳攻+40,16:8+50% / 15:2+50%
619,慈爱黑寡妇(Maternal onyx widow),速度+75 / 阳防+75,15:1+60% / 16:9+50%
620,死者的慈悲(Dead man's Tolerance),速度+75 / 阳攻+75,15:1+60% / 16:4+50%
622,追忆之爱,阴攻+100 / 阴防+50,16:3+50% / 15:7+50%
623,世界第一,阳攻+75 / 阴攻+75,16:5+50% / 15:7+50% / 15:5+50%
624,Spread your Wings,阳攻+100 / 阳防+50,16:7+50% / 15:2+50%
625,欠損Ride on,速度+60 / 阴攻+90,16:3+50% / 15:9+50%
626,ラブレター,速度+100 / 阳攻+50,16:3+50% / 15:1+60%
630,七色的幻想乡,阳攻+60 / 阴攻+80,15:10+20%
631,描绘幻想吧！,阴攻+90 / 阴防+50,15:2+20%
632,YOUR 1ST E'MOTE,速度+50 / 阳攻+100,15:7+35% / 16:6+35%
636,爱丽丝的维护工作,速度+100 / 阴攻+50,16:2+50% / 15:8+60%
637,海雀的歌声,速度+90 / 阴攻+60,16:5+50% / 15:7+50%
638,海彦的呼声,速度+60 / 阴攻+90,16:4+50% / 15:7+50%
669,奇妙舞台(Stage of wonder),速度+65 / 阴攻+85,16:8+35%
670,爱&梦想！(Love&Dream!),速度+60 / 阴攻+90,16:8+35%
676,迷宫漫步者,速度+60 / 阴攻+90,16:2+35% / 16:3+35%
683,Buddy·Myself（同名战友）,阳攻+75 / 阴攻+75,15:2+35%
684,双咒术师咲夜,速度+100 / 阴攻+50,15:4+35%
690,骑手女孩,速度+75 / 阳攻+75,16:6+35% / 16:3+35%
691,薯之女神,阴攻+75 / 阴防+75,15:1+40%
697,不働の精神,HP+250 / 阳防+100,16:2+35%
698,幻想的なサプライズ,速度+75 / 阴攻+75,16:4+35%
705,ノンＢたちのヘーベレＫ,阴攻+75 / 阴防+75,16:6+35%
706,年末のプレゼンター,HP+300 / 速度+90,15:7+35%
711,第12届 博丽神社例大祭,HP+500 / 速度+80,16:4+35%
713,We're open!,阳防+75 / 阴防+75,15:8+30%
714,一級紅茶そそぎ士,HP+450 / 阴攻+60,15:10+30%
729,にょきにょき元気が湧きすぎる,HP+400 / 阴防+70,15:4+30%
735,空飛ぶ蛞蝓霊と依代兎,速度+75 / 阳攻+75,16:8+35%
736,今だけ気分はイーグルラヴィ,HP+375 / 阳防+75,16:2+35%
10002,魔女的雨后茶会,HP+530 / 阴防+74,16:8+20%
10003,追忆之时,速度+85 / 阳攻+95,15:10+20%
10006,赏花于彼岸,速度+55 / 阴防+125,16:5+30%
10901001,和报告内容一致,速度+120 / 阴攻+120,16:6+50% / 16:3+45%
10901002,和报告内容一致,速度+120 / 阴攻+120,16:6+50%
10901003,和报告内容一致,速度+120 / 阴攻+120,16:6+50% / 16:5+45%
10901004,和报告内容一致,速度+120 / 阴攻+120,16:6+50%
10901005,和报告内容一致,速度+120 / 阴攻+120,16:6+50%
10901006,和报告内容一致,速度+120 / 阴攻+120,16:6+50%
10901007,和报告内容一致,速度+120 / 阴攻+120,16:6+50%
10901008,和报告内容一致,速度+120 / 阴攻+120,16:6+50%
10901009,和报告内容一致,速度+120 / 阴攻+120,16:6+50%
10901010,和报告内容一致,速度+120 / 阴攻+120,16:6+50%
10901011,和报告内容一致,速度+120 / 阴攻+120,16:6+50%
10901012,和报告内容一致,速度+120 / 阴攻+120,16:6+50%
10901013,和报告内容一致,速度+120 / 阴攻+120,16:6+50%
10901014,和报告内容一致,速度+120 / 阴攻+120,16:6+50% / 15:5+25%
10901015,和报告内容一致,速度+120 / 阴攻+120,16:6+50%
10901016,和报告内容一致,速度+120 / 阴攻+120,16:6+50% / 15:4+35%
10901017,和报告内容一致,速度+120 / 阴攻+120,16:6+50%
